listing_id,listing_url,neighborhood,room_type,property_type,capacity_guests,superhost,review_count,star_rating,host_id,host_inscope_listings,lat,lng,dist_to_boundary_m,nearest_other_neighborhood,boundary_uncertain_any_150m,boundary_uncertain_material,rate_2night_total_2026-09-15_17_usd,rate_2night_total_2026-09-25_27_usd,rate_2night_total_2026-12-11_13_usd,checked_date,checker,delisted_by,live_as_of
1255802760530612448,https://www.airbnb.com/rooms/1255802760530612448,Bloomfield,Entire home/apt,Entire rental unit,5,false,55,4.95,268860006,1,40.4582,-79.944,294,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
22098407,https://www.airbnb.com/rooms/22098407,Bloomfield,Entire home/apt,Entire home,9,false,262,4.65,160722221,1,40.4575,-79.947,339,,no,no,490,,,2026-08-25,claude-draft,,2026-08-31
1243576725984639804,https://www.airbnb.com/rooms/1243576725984639804,Bloomfield,Private room,Private room in home,2,true,76,4.84,445117504,4,40.45641,-79.94183,53,Shadyside,yes,yes,151,235,191,2026-08-25,claude-draft,,2026-08-31
818832083089454772,https://www.airbnb.com/rooms/818832083089454772,Bloomfield,Entire home/apt,Entire rental unit,4,false,68,4.88,454153048,3,40.458,-79.946,337,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
51217418,https://www.airbnb.com/rooms/51217418,Bloomfield,Entire home/apt,Entire rental unit,4,false,124,4.71,80836315,4,40.45999,-79.93936,228,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
920350752109417708,https://www.airbnb.com/rooms/920350752109417708,Bloomfield,Entire home/apt,Entire rental unit,3,false,26,4.54,80836315,4,40.45797,-79.94736,356,,no,no,320,,,2026-08-25,claude-draft,,2026-08-31
1243639704917650607,https://www.airbnb.com/rooms/1243639704917650607,Bloomfield,Private room,Private room in home,2,true,59,4.88,445117504,4,40.45799,-79.94329,251,,no,no,,234,191,2026-08-25,claude-draft,,2026-08-31
1258247368763715516,https://www.airbnb.com/rooms/1258247368763715516,Bloomfield,Private room,Private room in home,2,true,67,4.94,64738489,8,40.45758,-79.94266,189,,no,no,,317,,2026-08-25,claude-draft,,2026-08-31
1579971885955229664,https://www.airbnb.com/rooms/1579971885955229664,Bloomfield,Entire home/apt,Entire home,4,false,0,,92133840,1,40.45991,-79.9495,329,,no,no,1769,2226,2226,2026-08-25,claude-draft,,2026-08-31
1565854369961100869,https://www.airbnb.com/rooms/1565854369961100869,Bloomfield,Entire home/apt,Entire rental unit,2,false,4,3.5,731706236,1,40.4615,-79.9483,461,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
1076020318264173692,https://www.airbnb.com/rooms/1076020318264173692,Bloomfield,Private room,Private room in rental unit,1,false,9,4.33,362268462,1,40.46444,-79.93939,11,Garfield,yes,yes,,,,2026-08-25,claude-draft,,2026-08-31
1606653127666398226,https://www.airbnb.com/rooms/1606653127666398226,Bloomfield,Private room,Private room in home,1,false,0,,88399602,1,40.4557,-79.9475,252,,no,no,,,,2026-08-27,stephan,,2026-08-31
16061351,https://www.airbnb.com/rooms/16061351,Central Lawrenceville,Private room,Private room in home,2,false,77,4.91,63054112,1,40.4725,-79.96432,181,Lower Lawrenceville,no,no,,,,2026-08-27,claude-draft,,2026-08-31
42588269,https://www.airbnb.com/rooms/42588269,Bloomfield,Entire home/apt,Entire rental unit,4,true,274,4.87,142254957,1,40.46369,-79.93632,64,Friendship,yes,yes,,,290,2026-08-27,claude-draft,,2026-08-31
45892614,https://www.airbnb.com/rooms/45892614,Central Lawrenceville,Private room,Room in boutique hotel,2,false,46,4.61,371039243,3,40.47062,-79.96336,85,Lower Lawrenceville,yes,no,911,911,,2026-08-27,claude-draft,,2026-08-31
46103414,https://www.airbnb.com/rooms/46103414,Central Lawrenceville,Private room,Room in boutique hotel,2,false,32,4.63,371039243,3,40.46995,-79.96233,92,Lower Lawrenceville,yes,no,911,911,,2026-08-27,claude-draft,,2026-08-31
46332048,https://www.airbnb.com/rooms/46332048,Lower Lawrenceville,Private room,Room in boutique hotel,2,false,33,4.76,371039243,3,40.46869,-79.96382,96,Central Lawrenceville,yes,no,,911,911,2026-08-27,claude-draft,,2026-08-31
52150443,https://www.airbnb.com/rooms/52150443,Bloomfield,Entire home/apt,Entire rental unit,6,true,347,4.79,177691474,12,40.46268,-79.93693,66,Friendship,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
52150877,https://www.airbnb.com/rooms/52150877,Bloomfield,Entire home/apt,Entire rental unit,6,true,384,4.82,177691474,12,40.46052,-79.9373,64,Friendship,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
1706152249896809244,https://www.airbnb.com/rooms/1706152249896809244,Upper Lawrenceville,Entire home/apt,Entire home,10,true,6,5,288149703,1,40.483,-79.9496,326,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
1602278875471791234,https://www.airbnb.com/rooms/1602278875471791234,Bloomfield,Entire home/apt,Entire home,10,true,14,4.93,7556262,39,40.4633,-79.9379,145,Garfield,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
993336142820779150,https://www.airbnb.com/rooms/993336142820779150,Upper Lawrenceville,Entire home/apt,Entire home,12,true,126,4.84,539859833,2,40.48274,-79.95233,283,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
1710913393330402383,https://www.airbnb.com/rooms/1710913393330402383,Bloomfield,Entire home/apt,Entire home,8,true,5,4.8,428541200,2,40.4629,-79.9368,59,Friendship,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
1547048710651293771,https://www.airbnb.com/rooms/1547048710651293771,Upper Lawrenceville,Entire home/apt,Entire home,6,true,31,4.97,79495450,1,40.4837,-79.9449,17,Stanton Heights,yes,yes,,,511,2026-08-27,claude-draft,,2026-08-31
1292953497028344147,https://www.airbnb.com/rooms/1292953497028344147,Upper Lawrenceville,Entire home/apt,Entire townhouse,4,true,37,5,662841906,1,40.4815,-79.9543,291,Central Lawrenceville,no,no,,,,2026-08-27,claude-draft,,2026-08-31
894892603162282500,https://www.airbnb.com/rooms/894892603162282500,Upper Lawrenceville,Entire home/apt,Entire home,10,true,70,4.94,7556262,39,40.4821,-79.9496,304,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
916651816386722299,https://www.airbnb.com/rooms/916651816386722299,Upper Lawrenceville,Entire home/apt,Entire home,16,true,36,5,7556262,39,40.4821,-79.9496,304,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
897187955967700897,https://www.airbnb.com/rooms/897187955967700897,Upper Lawrenceville,Entire home/apt,Entire home,10,true,56,4.98,7556262,39,40.4821,-79.9497,311,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
629895806321166050,https://www.airbnb.com/rooms/629895806321166050,Bloomfield,Entire home/apt,Entire rental unit,4,false,75,4.8,698405520,1,40.45301,-79.94836,1,Shadyside,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
1082087446211512558,https://www.airbnb.com/rooms/1082087446211512558,Upper Lawrenceville,Entire home/apt,Entire home,12,false,49,4.86,544027981,1,40.4825,-79.9505,370,Stanton Heights,no,no,,1911,,2026-08-27,claude-draft,,2026-08-31
1231935409635207247,https://www.airbnb.com/rooms/1231935409635207247,Upper Lawrenceville,Entire home/apt,Entire home,8,false,37,4.76,569116310,1,40.4822,-79.9509,388,Stanton Heights,no,no,,,514,2026-08-27,claude-draft,,2026-08-31
1680600299850746704,https://www.airbnb.com/rooms/1680600299850746704,Central Lawrenceville,Hotel room,Room in hotel,2,false,0,,699580639,8,40.46951,-79.96281,29,Lower Lawrenceville,yes,no,,,376,2026-08-27,claude-draft,,2026-08-31
1686442416857119413,https://www.airbnb.com/rooms/1686442416857119413,Central Lawrenceville,Hotel room,Room in hotel,2,false,0,,699580639,8,40.46951,-79.96281,29,Lower Lawrenceville,yes,no,,,376,2026-08-27,claude-draft,,2026-08-31
1552895522879209786,https://www.airbnb.com/rooms/1552895522879209786,Central Lawrenceville,Hotel room,Room in hotel,4,false,0,,699580639,8,40.46951,-79.96281,29,Lower Lawrenceville,yes,no,357,,417,2026-08-27,claude-draft,,2026-08-31
1680600311259472617,https://www.airbnb.com/rooms/1680600311259472617,Central Lawrenceville,Hotel room,Room in hotel,4,false,0,,699580639,8,40.46951,-79.96281,29,Lower Lawrenceville,yes,no,348,,409,2026-08-27,claude-draft,,2026-08-31
959365739525082282,https://www.airbnb.com/rooms/959365739525082282,Bloomfield,,,0,0,0,,,1,40.45302,-79.94843,4,Shadyside,yes,yes,,,,2026-08-27,claude-draft,2026-08-31,
855037592506098629,https://www.airbnb.com/rooms/855037592506098629,Bloomfield,Entire home/apt,Entire rental unit,10,true,7,4.14,177691474,12,40.46077,-79.93775,105,Friendship,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
1698080382869541336,https://www.airbnb.com/rooms/1698080382869541336,Bloomfield,Entire home/apt,Entire rental unit,5,false,3,3.67,279789934,1,40.46432,-79.93688,38,Garfield,yes,yes,,,410,2026-08-27,claude-draft,,2026-08-31
1630004179120195183,https://www.airbnb.com/rooms/1630004179120195183,Central Lawrenceville,Entire home/apt,Entire home,16,false,5,3.6,228864058,3,40.47179,-79.95994,380,Lower Lawrenceville,no,no,1142,,1142,2026-08-27,claude-draft,,2026-08-31
1635353895664100779,https://www.airbnb.com/rooms/1635353895664100779,Central Lawrenceville,Entire home/apt,Entire home,6,false,0,,749861639,1,40.4738,-79.96077,382,Lower Lawrenceville,no,no,12553,20542,20542,2026-08-27,claude-draft,,2026-08-31
1624068107904744134,https://www.airbnb.com/rooms/1624068107904744134,Upper Lawrenceville,Entire home/apt,Entire home,4,false,0,,686948506,1,40.48157,-79.9542,288,Central Lawrenceville,no,no,,,,2026-08-27,claude-draft,,2026-08-31
1536608429104076164,https://www.airbnb.com/rooms/1536608429104076164,Upper Lawrenceville,Entire home/apt,Entire rental unit,3,false,0,,408792048,1,40.479,-79.9557,53,Central Lawrenceville,yes,no,1230,1222,1222,2026-08-27,claude-draft,,2026-08-31
1043041225996074062,https://www.airbnb.com/rooms/1043041225996074062,Upper Lawrenceville,Entire home/apt,Entire home,6,true,145,4.87,42691212,3,40.4841,-79.9453,13,Stanton Heights,yes,yes,,,,2026-08-27,claude-draft,,2026-08-31
857261473447574928,https://www.airbnb.com/rooms/857261473447574928,Upper Lawrenceville,Entire home/apt,Entire townhouse,3,false,0,,454838979,1,40.48241,-79.94941,300,Stanton Heights,no,no,,,,2026-08-27,claude-draft,,2026-08-31
1180715844983855114,https://www.airbnb.com/rooms/1180715844983855114,Upper Lawrenceville,Private room,Private room in home,2,false,5,4.6,24770814,2,40.47897,-79.9488,69,Stanton Heights,yes,yes,247,,248,2026-08-27,claude-draft,,2026-08-31
1642197033835032286,https://www.airbnb.com/rooms/1642197033835032286,Upper Lawrenceville,Entire home/apt,Entire home,5,false,0,,652074063,1,40.4807,-79.9528,342,Central Lawrenceville,no,no,2283,2283,2283,2026-08-27,claude-draft,,2026-08-31
